Datum;Zeit;Filiale;Kassennummer;Transaktionsnummer;Artikel;Menge;Aktion;Umsatz
31.12.2021;11:31:23;M Les Cadolles;253;31;Milette junior 5;1;0.00;7.70
31.12.2021;11:31:23;M Les Cadolles;253;31;Max os à mâcher 2pce;3;0.00;11.40
31.12.2021;11:31:23;M Les Cadolles;253;31;Red Bull blue edition;2;0.00;3.40
31.12.2021;11:31:23;M Les Cadolles;253;31;Red Bull tropical edit;2;0.00;3.40
31.12.2021;11:31:23;M Les Cadolles;253;31;MClass rav. Nap. 1.2kg;1;0.00;3.85
31.12.2021;11:31:23;M Les Cadolles;253;31;MClass rav. Nap. 870g;1;0.00;2.95
31.12.2021;11:31:23;M Les Cadolles;253;31;Epinards crème 800g;2;0.00;6.40
31.12.2021;11:31:23;M Les Cadolles;253;31;MBud espresso grains;1;0.00;4.50
31.12.2021;11:31:23;M Les Cadolles;253;31;MClass aliment lapins;1;0.00;3.35
29.12.2021;16:05:34;M Les Cadolles;001;402;Sarasay pêche 75cl;1;0.00;1.85
29.12.2021;16:05:34;M Les Cadolles;001;402;Alnatura Chips mais;1;0.00;1.90
29.12.2021;16:05:34;M Les Cadolles;001;402;Red Bull blue edition;1;0.00;1.70
29.12.2021;16:05:34;M Les Cadolles;001;402;Crème sandwich;1;0.00;3.10
29.12.2021;16:05:34;M Les Cadolles;001;402;MSC pâté au thon 200g;1;0.00;4.20
29.12.2021;16:05:34;M Les Cadolles;001;402;MBud saumon fumé atl.;1;0.00;4.95
29.12.2021;16:05:34;M Les Cadolles;001;402;MBud Jambon;1;0.00;3.65
29.12.2021;16:05:34;M Les Cadolles;001;402;Grana Padano;0.249;-0.87;4.60
29.12.2021;16:05:34;M Les Cadolles;001;402;MBud Gouda Holland;0.411;0.00;2.65
29.12.2021;16:05:34;M Les Cadolles;001;402;Emmental surchoix;0.254;0.00;4.95
29.12.2021;16:05:34;M Les Cadolles;001;402;Le Gruyère doux;0.229;-0.80;3.20
29.12.2021;16:05:34;M Les Cadolles;001;402;Saucisse séchée;1;0.00;7.90
29.12.2021;16:05:34;M Les Cadolles;001;402;Cherrytomates grappes;1;-0.45;1.75
29.12.2021;16:05:34;M Les Cadolles;001;402;Concombre;1;0.00;0.95
29.12.2021;16:05:34;M Les Cadolles;001;402;MClass galettes riz;1;0.00;0.80
29.12.2021;16:05:34;M Les Cadolles;001;402;Red Bull blue edition;1;0.00;1.70
29.12.2021;16:05:34;M Les Cadolles;001;402;Canapés rond saumon;1;0.00;2.50
29.12.2021;16:05:34;M Les Cadolles;001;402;Menthe;1;0.00;2.00
29.12.2021;16:05:34;M Les Cadolles;001;402;Cabas;1;0.00;0.30
29.12.2021;16:05:34;M Les Cadolles;001;402;MClass Séré demi-gras;1;0.00;1.45
29.12.2021;16:05:34;M Les Cadolles;001;402;Menthe;1;0.00;2.00
23.12.2021;10:57:51;M Les Cadolles;002;11;Cabas reutilisable;1;0.00;2.00
23.12.2021;10:57:51;M Les Cadolles;002;11;Batavia verte;1;0.00;1.80
23.12.2021;10:57:51;M Les Cadolles;002;11;Canapés Nature;1;0.00;2.80
23.12.2021;10:57:51;M Les Cadolles;002;11;Canapés rond figues;1;0.00;2.50
23.12.2021;10:57:51;M Les Cadolles;002;11;Filet de canard;0.317;0.00;11.10
23.12.2021;10:57:51;M Les Cadolles;002;11;Clementines;1;0.00;3.95
23.12.2021;10:57:51;M Les Cadolles;002;11;MBud Baguette     300g;1;0.00;0.70
23.12.2021;10:57:51;M Les Cadolles;002;11;Sélec fleur de sel 80g;1;0.00;6.90
